Product Name;Product Price;Product Old Price;Product Discount;Product Rating;Product Reviews;Product Link;Product Image
EspaceDeco.Tn Rideau Occultant lourd -1 panneau 140x240cm- a oeillets -  velour - beige;59.00 TND;85.00 TND;31%;3.8;4;https://jumia.com.tn/espacedeco.tn-rideau-occultant-lourd-1-panneau-140x240cm-a-oeillets-velour-beige-664089.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/0466/1.jpg?0212
EspaceDeco.Tn Rideau Occultant lourd -a oeillets - 1 panneau 140x240cm -  bois de rose- velour;59.00 TND;85.00 TND;31%;4.5;8;https://jumia.com.tn/espacedeco.tn-rideau-occultant-lourd-a-oeillets-1-panneau-140x240cm-bois-de-rose-velour-314961.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/9413/1.jpg?0184
Eveline Blush liquide Joue & Lèvre Veloutée N°03 Rose-Abricot – 4,5ml;31.80 TND;;;4.5;2;https://jumia.com.tn/eveline-blush-liquide-joue-levre-veloutee-n03-rose-abricot-45ml-773811.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/8377/1.jpg?2605
EspaceDeco.Tn 2 Rideaux Occultant lourd -a oeillets - gris - velour;89.00 TND;95.00 TND;6%;4;2;https://jumia.com.tn/espacedeco.tn-2-rideaux-occultant-lourd-a-oeillets-gris-velour-358580.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/5853/1.jpg?5446
Usams Support pour Smartphone - ZJ064 360 Rotation vélo 4.5-7 Pouces - Noir;99.00 TND;149.00 TND;34%;;;https://jumia.com.tn/usams-support-pour-smartphone-zj064-360-rotation-velo-4.5-7-pouces-noir-692961.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/9296/1.jpg?4239
Msi BOITIER GAMER MPG VELOX 100R - Moyen Tour -  ARGB - BLANC;439.00 TND;520.00 TND;16%;;;https://jumia.com.tn/msi-boitier-gamer-mpg-velox-100r-moyen-tour-argb-blanc-798668.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/6897/1.jpg?2326
EspaceDeco.Tn Coussin pyramide velours - blanc - 20 x 20;45.00 TND;;;;;https://jumia.com.tn/espacedeco.tn-coussin-pyramide-velours-blanc-20-x-20-417634.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/6714/1.jpg?9726
Lampa Clé universelle 16 voies pour la réparation de voiture de moto de vélo;18.50 TND;;;;;https://jumia.com.tn/lampa-cle-universelle-16-voies-pour-la-reparation-de-voiture-de-moto-de-velo-687461.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/4786/1.jpg?8209
Linda Plaid en Velours  2 Places - 195x240cm - Plaid Polaire - Jeté en flanelle;22.90 TND;49.00 TND;53%;;;https://jumia.com.tn/linda-plaid-en-velours-2-places-195x240cm-plaid-polaire-jete-en-flanelle-795612.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/6597/1.jpg?5069
Étui de téléphone étanche pour vélo, moteur à 360 °, support de montage pour tous les téléphones mobiles;79.00 TND;;;2.5;4;https://jumia.com.tn/sans-marque-etui-de-telephone-etanche-pour-velo-moteur-a-360-support-de-montage-pour-tous-les-telephones-mobiles-672492.html;https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/4276/1.jpg?3386
